Product,Brand,Product Code,Product Specification,Price,Inward Date,Dispatch Date,Quantity Sold,Customer Name,Customer Location,Region,Core Specification,Processor Specification,RAM,ROM,SSD
Laptop,Oppo,416DFEEB,Beat put care fight affect address his.,44613,2023-10-03,2023-10-06,1,Larry Smith,North Lisa,South,Ryzen 5,Ryzen 5,8GB,512GB,256GB
Laptop,Sony,73D2A7CC,Friend record hard contain minute we role sea most.,20911,2024-02-06,2024-03-27,1,Dan Kirby,New Jordanmouth,South,i7,i7,12GB,64GB,2TB
Laptop,Microsoft,CCE0B80D,Program recently feeling save tree hotel people.,69832,2023-08-10,2023-09-10,4,Dean Martin,Keithton,East,i7,i7,8GB,128GB,2TB
Laptop,HP,10A5C53D,Recognize happen middle clear simple player positive improve team there crime.,190474,2025-03-19,2025-05-08,1,Monica Berry,West Heather,Central,i7,i7,16GB,64GB,256GB
Laptop,Apple,D58FF785,Reality sea weight thing newspaper good next generation keep official foreign nearly concern.,15041,2023-10-29,2023-12-20,1,Danielle Smith,North Travis,South,i7,i7,12GB,128GB,256GB
Laptop,Apple,4FC302CF,Owner necessary total determine view stock church oil successful.,186647,2023-09-27,2023-10-11,3,Kyle Brown,West Dakota,East,i5,i5,16GB,64GB,1TB
Laptop,Nokia,2744030A,In all blue newspaper space doctor financial quite suddenly stay participant.,195641,2023-05-11,2023-07-08,10,Louis Young,New Kyletown,Central,Ryzen 3,Ryzen 3,12GB,256GB,256GB
Laptop,Lenovo,9F9A8BA9,Perform plan center address back design suddenly.,121462,2023-04-14,2023-05-16,1,Laura Martin,East Katherine,West,i3,i3,6GB,128GB,512GB
Laptop,Oppo,C215F637,Small push executive professional stand spring.,138695,2025-02-14,2025-03-02,8,Paula Sims,Lake Williamshire,West,i7,i7,16GB,512GB,1TB
Laptop,iQOO,651469C2,Democrat here debate also better develop.,168076,2023-07-02,2023-07-12,8,Mr. James Harris,Rayville,South,i5,i5,6GB,128GB,1TB
Laptop,Microsoft,5931B97C,Do score chair office per through north question trip majority.,86089,2024-10-27,2024-12-22,1,David Anderson,Masonmouth,West,i7,i7,16GB,1TB,1TB
Laptop,Sony,335BA5BE,Inside others our maybe test professional feel.,185556,2023-11-23,2023-12-23,8,Brian Baker,Maryville,Central,Ryzen 5,Ryzen 5,16GB,512GB,2TB
Laptop,Nokia,7402DBC0,Forget then entire may system total audience people.,55049,2023-09-14,2023-09-18,9,William Scott,Smithview,North,Ryzen 3,Ryzen 3,8GB,64GB,1TB
Laptop,Lenovo,552EAB5F,Structure road unit theory inside station war source accept contain serious.,9395,2025-02-27,2025-04-16,9,Megan Valenzuela,North Raymondtown,South,Ryzen 5,Ryzen 5,12GB,256GB,512GB
Laptop,iQOO,37D3F7F4,Skill figure play beyond interest perhaps network lead another responsibility.,87053,2024-09-14,2024-11-09,2,Dennis Taylor,Paulport,South,i7,i7,8GB,64GB,2TB
Laptop,HP,4EBDFE31,Attention less least beat five play receive capital strategy.,29617,2024-08-31,2024-10-02,10,Olivia Garcia,Thomasside,Central,i3,i3,32GB,512GB,512GB
Laptop,Samsung,CF884218,Film network mouth continue admit second.,133951,2024-04-12,2024-05-01,2,Bruce Terry,Jeremyton,West,Ryzen 3,Ryzen 3,16GB,1TB,512GB
Laptop,Redmi,9A61C658,Base hour run to heart building wonder seven field send risk human smile exactly.,11675,2023-09-23,2023-10-27,6,Kyle Wright,Vaughanchester,South,i9,i9,6GB,512GB,512GB
Laptop,Realme,1C31DF4A,Father close continue floor bill happen item politics close offer election think all.,81871,2025-03-03,2025-04-12,5,Jamie Ramirez,Lake Thomasshire,East,Ryzen 5,Ryzen 5,4GB,1TB,256GB
Laptop,Acer,BD6CC48B,Scientist be program laugh identify heart forward generation while small work.,28150,2024-11-27,2024-12-28,5,Sarah Perez,New Jamiestad,Central,Ryzen 3,Ryzen 3,8GB,1TB,2TB
Laptop,Asus,7289581E,Like color into town product both recent trip.,88221,2024-11-19,2024-12-02,8,Logan Grant,Parkerberg,Central,Ryzen 7,Ryzen 7,8GB,512GB,256GB
Laptop,Microsoft,033941E0,Glass politics model standard personal really past performance condition my politics effort probably.,144051,2025-02-02,2025-03-01,8,Michelle Mckinney,Alyssaburgh,South,Ryzen 7,Ryzen 7,4GB,128GB,2TB
Laptop,Toshiba,E83D4195,Her which never three land thus prepare and quickly song adult.,64073,2023-11-13,2024-01-01,6,Joel Stevenson,Michellebury,Central,i5,i5,6GB,64GB,2TB
Laptop,Google,29493FAA,Should water thank writer goal card religious reduce shake.,149785,2024-08-14,2024-09-30,3,Matthew Kennedy,South Ericaside,East,i3,i3,6GB,256GB,512GB
Laptop,Oppo,6C6A51C8,Camera what clearly security area upon listen spring.,153916,2024-03-04,2024-04-04,4,Luke Adams,Josebury,North,Ryzen 9,Ryzen 9,6GB,512GB,2TB
Laptop,Samsung,AEFEC66E,Change off adult level age technology garden section.,61230,2024-07-07,2024-08-09,9,Ryan Lee,New Jessica,East,Ryzen 7,Ryzen 7,4GB,64GB,2TB
Laptop,Vivo,ECFDD5AD,Foot enter result their focus power someone suffer.,159254,2023-08-19,2023-09-11,4,Diana Smith,Walkermouth,West,i3,i3,6GB,128GB,1TB
Laptop,iQOO,F5B6B3D7,Imagine adult single check role do.,165298,2024-06-03,2024-06-27,8,Diana Owens,New Jefferyfurt,North,i7,i7,4GB,64GB,1TB
Laptop,Samsung,BD867652,Country huge answer water group certainly customer already room natural everything something.,105696,2025-02-17,2025-02-21,4,Ian Coleman,North Brian,West,Ryzen 5,Ryzen 5,16GB,128GB,256GB
Laptop,Acer,0E892823,Almost present skill read agreement often age stop.,124578,2023-07-23,2023-09-14,5,Gabriel Guerra,Lake Codyborough,North,i7,i7,12GB,1TB,256GB
Laptop,Samsung,B5960254,Arm analysis minute head character air rather within traditional wrong.,26317,2025-01-19,2025-02-05,6,Kristin Rodriguez,Port Anthonyburgh,West,Ryzen 7,Ryzen 7,32GB,256GB,512GB
Laptop,Motorola,0F0C53FB,Certain head place also bed person middle law great late finish at.,51818,2023-10-17,2023-12-14,7,Laura Davis,Shermanstad,West,Ryzen 7,Ryzen 7,4GB,256GB,256GB
Laptop,Nokia,F6DE94E0,Customer property economy space himself card.,148517,2024-03-16,2024-05-12,1,Holly Morales,Chanville,East,Ryzen 5,Ryzen 5,32GB,256GB,1TB
Laptop,Nokia,775C9D4A,Money light case condition prevent get their film suddenly do product deep.,111353,2023-04-26,2023-06-24,5,Walter Levine,New Jasonchester,Central,i3,i3,4GB,1TB,256GB
Laptop,OnePlus,F9849F0C,Term security its home book find agreement understand.,136232,2023-09-09,2023-10-26,3,Elizabeth Austin,East Alexanderside,North,i3,i3,12GB,256GB,256GB
Laptop,Google,DB6F5FEC,Marriage how tax partner establish office school.,37405,2024-08-13,2024-10-02,3,Johnny Rodriguez,Port Brian,West,i3,i3,12GB,64GB,1TB
Laptop,iQOO,D4B363CC,Mr significant fill consider or participant sound.,11902,2024-06-11,2024-08-03,8,Dana Conner,Cabreraland,South,Ryzen 7,Ryzen 7,8GB,64GB,512GB
Laptop,Acer,D21FC96D,Treatment school wonder four hair say site father management sometimes turn product.,105601,2024-11-23,2024-11-24,7,Jessica Kelly,New Alex,Central,Ryzen 7,Ryzen 7,8GB,256GB,256GB
Laptop,Sony,B63BD722,Mouth enter woman production election seem participant allow real field.,44983,2023-09-25,2023-10-22,7,Ryan Keith,Williammouth,North,Ryzen 7,Ryzen 7,6GB,1TB,512GB
Laptop,HP,7A7D582C,Prevent least study nearly candidate live vote yard on first exist while author.,57037,2024-02-14,2024-03-05,9,Elizabeth Walker,Benjaminstad,Central,Ryzen 3,Ryzen 3,4GB,64GB,2TB
Laptop,Oppo,485A5C78,Often store ahead front air language I.,46989,2023-07-21,2023-07-26,1,Cassandra Gray,Port Bethanystad,North,i3,i3,32GB,128GB,512GB
Laptop,Motorola,D73F88BD,Beyond prove leader course career everything debate least.,43683,2023-10-03,2023-11-30,2,Larry Mcintyre,Port Edward,Central,Ryzen 7,Ryzen 7,12GB,512GB,512GB
Laptop,Google,33009991,Order city oil gun response trial.,16400,2024-09-11,2024-10-02,5,Robert Buchanan,Port Jaime,East,i9,i9,32GB,64GB,512GB
Laptop,iQOO,02F432C7,Write bad step speak his step area general over write.,98945,2024-09-15,2024-09-22,9,David Wilson,New Carolyn,East,Ryzen 7,Ryzen 7,32GB,128GB,1TB
Laptop,Sony,FA8058CE,Mean weight pass quickly blood eye time specific political your quite himself.,59820,2023-08-11,2023-09-22,10,Jacob Craig,Townsendfurt,South,i3,i3,12GB,64GB,256GB
Laptop,OnePlus,0539DBE6,Present plan none kitchen face nor western space ready indicate.,179263,2024-12-14,2025-01-09,1,David Kerr,Jamesville,North,i7,i7,6GB,256GB,256GB
Laptop,Lenovo,5FB42BDF,Hotel skin rock improve treat actually check.,75700,2025-02-10,2025-03-14,7,John Tran,Pattonfurt,Central,i7,i7,4GB,128GB,1TB
Laptop,Samsung,D30F1287,Look general general exist how night skill impact face so window.,170771,2024-09-06,2024-10-11,8,Jason Townsend,Solisfort,West,i9,i9,8GB,256GB,1TB
Laptop,Redmi,B5979456,Where society pressure team mission often surface agree network.,166260,2024-02-17,2024-03-01,8,Desiree Williams,Lindafort,North,Ryzen 9,Ryzen 9,16GB,256GB,512GB
Laptop,iQOO,19CAFF55,Nation between phone weight accept up.,122030,2023-10-15,2023-12-08,6,Calvin James,North Albertmouth,South,i7,i7,6GB,256GB,512GB
Laptop,Apple,2E475456,Vote chance toward meeting manager hot music structure property hear plan usually.,150198,2023-06-05,2023-07-27,10,Michelle Ruiz,Longside,West,i3,i3,8GB,256GB,2TB
Laptop,Lenovo,EB21B3A6,Star outside rich rather item now owner seat turn when.,11333,2024-04-22,2024-06-03,7,Edward Smith,Delgadoburgh,West,Ryzen 7,Ryzen 7,16GB,128GB,1TB
Laptop,Asus,CED22D67,Could arrive then want base material hotel series.,108235,2024-04-15,2024-05-25,9,April Pena,Brandonfurt,Central,i7,i7,4GB,128GB,1TB
Laptop,Asus,B1538A92,Various from several interest writer mind condition TV your program into cup its.,134412,2024-04-07,2024-04-19,2,David Evans,East Thomasburgh,North,Ryzen 3,Ryzen 3,12GB,512GB,1TB
Laptop,HP,1C73DE0B,Politics could project fish trial explain citizen face consumer edge theory break positive.,20799,2024-08-06,2024-09-30,3,Christopher Mclaughlin,Stevenshire,East,i9,i9,16GB,512GB,256GB
Laptop,Asus,093C2823,Doctor law government teacher college early offer return.,172640,2023-04-03,2023-04-19,10,Shawn Bryant,South Matthew,South,i9,i9,12GB,512GB,2TB
Laptop,Apple,6951D855,Time level light any want material safe bring.,177532,2023-06-16,2023-08-02,7,Rachel Gillespie,Hooperfurt,Central,Ryzen 5,Ryzen 5,4GB,64GB,256GB
Laptop,Realme,D193092F,Doctor interest side population civil same.,146371,2024-12-14,2025-01-28,9,Jennifer Lawrence,West Douglas,North,i5,i5,32GB,64GB,512GB
Laptop,OnePlus,4600D2A7,Describe yes itself already hour yeah.,142648,2023-07-23,2023-08-25,1,Diane Lawrence,South Barbara,East,Ryzen 5,Ryzen 5,12GB,128GB,2TB
Laptop,Realme,6B3805A1,Only walk manage economic check rest with fight which.,108902,2024-08-25,2024-09-22,5,David Jones,Justinstad,West,i9,i9,6GB,512GB,2TB
Laptop,Apple,5DA6F0DE,Learn right scientist like opportunity college actually floor.,8877,2024-09-21,2024-11-05,2,Carl Lewis,South Glennhaven,West,i3,i3,12GB,512GB,2TB
Laptop,HP,6EB45546,Somebody future standard evidence involve nature difference.,143110,2024-01-30,2024-02-12,3,Samantha Wood,Adammouth,West,i7,i7,16GB,256GB,512GB
Laptop,Sony,2BCF6285,Total between bring attention image tend because charge development day decade.,56929,2024-11-13,2025-01-07,2,Alice Gardner,Lake Monica,East,i9,i9,32GB,256GB,1TB
