Product,Brand,Product Code,Product Specification,Price,Inward Date,Dispatch Date,Quantity Sold,Customer Name,Customer Location,Region,Core Specification,Processor Specification,RAM,ROM,SSD
Mobile Phone,Motorola,88EB4558,Site candidate activity company there bit inside soldier decide information.,78570,2023-08-02,2023-08-03,6,William Hess,South Kelsey,Central,,Snapdragon 7 Gen,12GB,128GB,
Mobile Phone,Samsung,9F975B08,Energy special low seven place audience.,159826,2025-03-19,2025-03-20,5,Leah Copeland,South Todd,Central,,MediaTek Dimensity,8GB,256GB,
Mobile Phone,Dell,14932CAE,Could before almost wind couple evening perform one take.,11670,2023-10-10,2023-10-16,6,Nicole Gonzalez,South Miguel,North,,Apple A-Series,16GB,256GB,
Mobile Phone,Motorola,E3CF42BE,Responsibility form left final suffer party picture question environmental dog.,174698,2025-02-09,2025-03-20,10,Miranda Clayton,North Deanna,North,,MediaTek Dimensity,6GB,64GB,
Mobile Phone,Apple,F54013D6,To say system loss near him.,51251,2023-04-03,2023-04-19,9,Ms. Katie Anderson,Lake Laurenfort,North,,Snapdragon 8 Gen,4GB,256GB,
Mobile Phone,Toshiba,38604169,At American discussion travel building training tend total people year country ever.,179710,2024-04-11,2024-04-28,8,Jennifer Taylor,Allenside,East,,Snapdragon 7s,6GB,512GB,
Mobile Phone,Realme,E1DA13C1,Building eye media beat until together mother federal lot dream ready yet.,132370,2023-04-23,2023-05-18,6,Steven Foster,Victorberg,West,,Snapdragon 7 Gen,16GB,512GB,
Mobile Phone,Samsung,00A8F8A0,Environment wish certain about should ever modern plant.,57148,2023-11-27,2023-12-08,7,Cristian Briggs,Port Nicole,East,,MediaTek Helio,16GB,256GB,
Mobile Phone,HP,CF70EFC5,Opportunity work half certain phone community recognize despite base arrive guess hope firm.,136094,2023-06-09,2023-07-17,9,Douglas Bass,North Glennmouth,North,,Apple A-Series,12GB,128GB,
Mobile Phone,Google,7FE9993A,Range strong full claim join quite hit never keep success travel treatment hear.,89801,2025-01-15,2025-01-31,9,Paul Stokes,Chapmanside,West,,Snapdragon 8 Gen,4GB,1TB,
